id;nome;link
0;. Engenharia de Produção;https://querobolsa.com.br/cursos-e-faculdades/engenharia-de-producao
1;. MBA em Gestão Empresarial;https://querobolsa.com.br/cursos-e-faculdades/mba-em-gestao-empresarial
2;Administração Pública;https://querobolsa.com.br/cursos-e-faculdades/administracao-publica
3;Administração;https://querobolsa.com.br/cursos-e-faculdades/administracao
4;Agronomia;https://querobolsa.com.br/cursos-e-faculdades/agronomia
5;Alfabetização e Letramento;https://querobolsa.com.br/cursos-e-faculdades/alfabetizacao-e-letramento
6;Antropologia;https://querobolsa.com.br/cursos-e-faculdades/antropologia
7;Análise e Desenvolvimento de Sistemas;https://querobolsa.com.br/cursos-e-faculdades/analise-e-desenvolvimento-de-sistemas
8;Arqueologia;https://querobolsa.com.br/cursos-e-faculdades/arqueologia
9;Arquitetura e Urbanismo;https://querobolsa.com.br/cursos-e-faculdades/arquitetura-e-urbanismo
10;Arquitetura;https://querobolsa.com.br/cursos-e-faculdades/arquitetura
11;Arquivologia;https://querobolsa.com.br/cursos-e-faculdades/arquivologia
12;Artes Cênicas;https://querobolsa.com.br/cursos-e-faculdades/artes-cenicas
13;Artes Visuais;https://querobolsa.com.br/cursos-e-faculdades/artes-visuais
14;Artes;https://querobolsa.com.br/cursos-e-faculdades/artes
15;Arteterapia;https://querobolsa.com.br/cursos-e-faculdades/arteterapia
16;Assessoria de Comunicação;https://querobolsa.com.br/cursos-e-faculdades/assessoria-de-comunicacao
17;Audiovisual;https://querobolsa.com.br/cursos-e-faculdades/audiovisual
18;Automação Industrial;https://querobolsa.com.br/cursos-e-faculdades/automacao-industrial
19;Administração de Empresas;https://querobolsa.com.br/cursos-e-faculdades/administracao-de-empresas
20;Administração Escolar;https://querobolsa.com.br/cursos-e-faculdades/administracao-escolar
21;Administração de Banco de Dados;https://querobolsa.com.br/cursos-e-faculdades/administracao-de-banco-de-dados
22;Arquitetura de Software;https://querobolsa.com.br/cursos-e-faculdades/arquitetura-de-software
23;Análises Clínicas e Toxicológicas;https://querobolsa.com.br/cursos-e-faculdades/analises-clinicas-e-toxicologicas
24;Auditoria e Perícia Ambiental;https://querobolsa.com.br/cursos-e-faculdades/auditoria-e-pericia-ambiental
25;Administração e Marketing Esportivo;https://querobolsa.com.br/cursos-e-faculdades/administracao-e-marketing-esportivo
26;Acupuntura;https://querobolsa.com.br/cursos-e-faculdades/acupuntura
27;Análises Clínicas;https://querobolsa.com.br/cursos-e-faculdades/analises-clinicas
28;Administração Financeira;https://querobolsa.com.br/cursos-e-faculdades/administracao-financeira
29;Análise, Projeto e Gerência de Sistemas;https://querobolsa.com.br/cursos-e-faculdades/analise-projeto-e-gerencia-de-sistemas
30;Auditoria e Controladoria;https://querobolsa.com.br/cursos-e-faculdades/auditoria-e-controladoria
31;Atendimento Educacional Especializado;https://querobolsa.com.br/cursos-e-faculdades/atendimento-educacional-especializado
32;Auditoria em Sistemas de Saúde;https://querobolsa.com.br/cursos-e-faculdades/auditoria-em-sistemas-de-saude
33;Auditoria e Perícia Contábil;https://querobolsa.com.br/cursos-e-faculdades/auditoria-e-pericia-contabil
34;Administração e Supervisão Escolar;https://querobolsa.com.br/cursos-e-faculdades/administracao-e-supervisao-escolar
35;Administração para Engenheiros;https://querobolsa.com.br/cursos-e-faculdades/administracao-para-engenheiros
36;Agronegócio;https://querobolsa.com.br/cursos-e-faculdades/agronegocio
37;Agronegócios;https://querobolsa.com.br/cursos-e-faculdades/agronegocios
38;Auditoria Contábil;https://querobolsa.com.br/cursos-e-faculdades/auditoria-contabil
